Date,Open,High,Low,Close,C Simple 5,10,25,75,200,Volume,Simple 5,10,25,75,
02/08/2019,70.5,71,69.25,70.75,71.65,71.9,73.14,69.82,67.38,68506475,24162736,23191250,21378011,29335859,
05/08/2019,69.5,70.5,69.25,69.5,71.2,71.58,72.96,69.84,67.42,35616903,28920667,25368926,21756434,29592024,
06/08/2019,69,69.75,69,69.25,70.65,71.35,72.79,69.86,67.45,44964516,35275157,26585850,22520918,30078270,
07/08/2019,69.25,70.25,68.5,69.5,70.15,71.08,72.6,69.87,67.49,28543221,38410634,27080148,22623126,30274615,
08/08/2019,69.5,71.25,69.5,71,70,70.95,72.48,69.91,67.53,27056930,40937609,27611895,22951070,30463570,
09/08/2019,71.5,71.5,69.5,69.75,69.8,70.72,72.27,69.92,67.56,19844722,31205258,27683997,22864411,30370352,
13/08/2019,69.25,70,67.25,67.25,69.35,70.28,71.99,69.9,67.58,45957447,33273367,31097017,23473205,30564990,
14/08/2019,68,69,68,68.75,69.25,69.95,71.75,69.9,67.61,29674924,30215449,32745303,23946043,30710916,
15/08/2019,68.5,70.25,67.75,69.5,69.25,69.7,71.57,69.91,67.64,45596371,33626079,36018357,25037155,31167258,
16/08/2019,69.25,70.75,69.25,70.5,69.15,69.58,71.45,69.94,67.68,28445207,33903734,37420672,25431613,31438797,
19/08/2019,71,71.75,70.75,71.5,69.5,69.65,71.34,69.99,67.74,27437879,35422366,33313812,25488488,31615354,
20/08/2019,71.75,72,70,70.25,70.1,69.72,71.2,70.02,67.78,33900865,33011049,33142208,26375222,31888927,
21/08/2019,70.25,71,70.25,70.25,70.4,69.83,71.05,70.05,67.83,20258951,31127855,30671652,26599141,32042814,
22/08/2019,69.75,70.25,69.5,70.25,70.55,69.9,70.91,70.07,67.87,21689053,26346391,29986235,27089886,32105027,
23/08/2019,70.5,71,70.25,71,70.65,69.9,70.81,70.1,67.92,14252669,23507883,28705809,27212152,32060465,
26/08/2019,69.75,70.75,69.5,70.5,70.45,69.97,70.71,70.12,67.96,16144835,21249275,28335820,26851880,32123401,
27/08/2019,70.25,71.5,70,71,70.6,70.35,70.64,70.15,68,32558292,20980760,26995905,27600606,32376406,
28/08/2019,71,71.5,70.5,71.25,70.8,70.6,70.63,70.19,68.04,17737803,20476530,25802193,26998307,32437732,
29/08/2019,71.25,71.75,71,71.25,71,70.78,70.59,70.24,68.08,11073619,18353444,22349917,26497242,32329040,
30/08/2019,71.75,72.5,71,72,71.2,70.92,70.58,70.3,68.11,31342820,21771474,22639679,26881376,32564825,
02/09/2019,72,73,72,72.5,71.6,71.03,70.6,70.35,68.16,26941820,23930871,22590073,27194101,32761366,
03/09/2019,72.5,72.75,72,72,71.8,71.2,70.61,70.41,68.19,16360137,20691240,20836000,27375417,32758525,
04/09/2019,72.25,74.5,72.25,74.25,72.4,71.6,70.7,70.5,68.23,50569735,27257626,23867078,28870523,33275803,
05/09/2019,74.75,75.25,74,74.5,73.05,72.03,70.8,70.58,68.28,41117791,33266461,25809952,30000602,33611516,
06/09/2019,74.5,74.75,73.75,74.25,73.5,72.35,70.9,70.68,68.33,17312241,30460345,26115909,30116209,33551942,
09/09/2019,74,74.25,73.75,74.25,73.85,72.72,71.04,70.78,68.37,9359691,26943919,25437395,27750338,33296669,
10/09/2019,74.5,74.75,73.75,74.25,74.3,73.05,71.23,70.88,68.42,16015783,26875048,23783144,26966293,33317897,
11/09/2019,74.5,74.5,74,74.25,74.3,73.35,71.43,70.98,68.46,11775548,19116211,23186919,25638734,33122541,
12/09/2019,74.25,74.25,73,73,74,73.53,71.57,71.07,68.5,17856803,14464013,23865237,25211277,32793454,
13/09/2019,72.75,73,72,72,73.55,73.53,71.61,71.15,68.54,22109255,15423416,22941880,25013370,32386860,
16/09/2019,72,73.5,71.75,73.5,73.4,73.63,71.76,71.23,68.58,17275375,17006553,21975236,24910597,32040057,
17/09/2019,73.25,74.25,73,73.5,73.25,73.78,72.01,71.33,68.63,20879709,17979338,22427193,23907487,32137074,
18/09/2019,73.5,74,73,74,73.2,73.75,72.22,71.43,68.69,18687233,19361675,19238943,23467979,32167214,
19/09/2019,74.25,74.75,73.75,74,73.4,73.7,72.4,71.56,68.75,19310704,19652455,17058234,22416553,30360402,
20/09/2019,74,74.25,73.25,73.75,73.75,73.65,72.53,71.68,68.8,19225696,19075743,17249580,22047772,29883224,
23/09/2019,74,74,72,72.5,73.55,73.47,72.57,71.78,68.84,20850210,19790710,18398632,21784266,29780723,
24/09/2019,72.75,73.75,72.75,73,73.45,73.35,72.68,71.89,68.89,12068470,18028463,18003900,20910970,29613435,
25/09/2019,72.75,74.25,72.75,73.75,73.4,73.3,72.82,71.99,68.94,20914052,18473826,18917751,20937174,29622144,
26/09/2019,74.25,74.25,73.5,73.75,73.35,73.38,72.96,72.1,68.99,13334838,17278653,18465554,20603005,29323775,
27/09/2019,73.5,74.5,73.5,74.25,73.45,73.6,73.09,72.2,69.04,20749917,17583497,18329620,20862895,29259838,
30/09/2019,74,75.25,73.75,74.75,73.9,73.72,73.26,72.31,69.08,30104121,19434280,19612495,21421267,29533648,
01/10/2019,75,75.25,74.25,74.25,74.15,73.8,73.39,72.42,69.13,18971602,20814906,19421684,20877799,29571536,
02/10/2019,74,74,72.5,73,74,73.7,73.46,72.5,69.16,26330223,21898140,20185983,21221496,29769734,
03/10/2019,72.75,73.75,72.75,73.25,73.9,73.63,73.54,72.59,69.2,14773901,22185953,19732303,21369507,29773153,
04/10/2019,73.5,73.5,73,73.25,73.7,73.58,73.59,72.66,69.25,10642513,20164472,18873985,20541495,29254591,
07/10/2019,73.5,74,73,74,73.55,73.72,73.65,72.66,69.3,11425465,16428741,17931510,19920841,25112160,
08/10/2019,74.5,74.5,73.5,73.75,73.45,73.8,73.72,72.66,69.35,9007949,14436010,17625458,19626753,24184618,
09/10/2019,73.75,74.5,73.5,74.5,73.75,73.88,73.73,72.66,69.41,10745013,11318968,16608554,18033764,23589774,
10/10/2019,74.25,74.5,73.5,73.75,73.85,73.88,73.7,72.63,69.46,9757873,10315763,16250858,16779367,22974636,
11/10/2019,74,75,74,75,74.2,73.95,73.73,72.63,69.52,24076150,13002490,16583481,17049924,22725723,
15/10/2019,75.25,75.5,74.75,75.5,74.5,74.03,73.78,72.65,69.58,18014527,14320302,15374522,17396117,22174822,
16/10/2019,75.75,77.25,75.5,77,75.15,74.3,73.89,72.69,69.64,52016018,22921916,18678963,18836127,22519618,
17/10/2019,77.5,77.75,76.5,77,75.65,74.7,74,72.74,69.71,27178294,26208572,18763770,19452236,22537296,
18/10/2019,77,77.5,76,77.25,76.35,75.1,74.17,72.78,69.77,19201240,28097246,19206504,19506014,22446806,
21/10/2019,77.25,77.75,76.5,77,76.75,75.47,74.37,72.82,69.84,10044337,25290883,19146687,19023417,22329286,
22/10/2019,77.25,77.75,76.5,77,77.05,75.78,74.51,72.85,69.91,8360745,23360127,18840215,18666832,22147280,
24/10/2019,77.25,78.25,76.75,78,77.25,76.2,74.69,72.9,69.98,34294527,19815829,21368872,19203425,22194705,
25/10/2019,78,78.25,76,76.25,77.1,76.38,74.78,72.92,70.04,32611874,20902545,23555559,19760410,22391478,
28/10/2019,76.25,77.5,75.75,77.5,77.15,76.75,74.92,72.96,70.11,16446770,20351651,24224448,19645853,22366520,
29/10/2019,77.5,78.75,77.25,78.25,77.4,77.08,75.1,73.03,70.18,29716219,24286027,24788455,20065474,22514953,
30/10/2019,78.5,79,78,78.75,77.75,77.4,75.35,73.09,70.25,19593458,26532570,24946348,20015204,22429319,
31/10/2019,78.75,79.5,78.25,78.25,77.8,77.53,75.56,73.15,70.32,21722480,24018160,21916994,20401364,22562519,
01/11/2019,78,78.75,77.5,78,78.15,77.63,75.73,73.2,70.39,16255769,20746939,20824742,20215033,22583783,
04/11/2019,78.25,80.25,78.25,80,78.65,77.9,75.98,73.28,70.46,31151539,23687893,22019772,20927701,22873531,
05/11/2019,80,80.25,78.5,79.25,78.85,78.13,76.18,73.36,70.52,26695749,23083799,23684913,21165534,23080194,
06/11/2019,79.25,80.5,79,80,79.1,78.42,76.39,73.45,70.58,25907366,24346581,25439575,20997664,23090270,
07/11/2019,80,80.5,79.25,80,79.45,78.63,76.62,73.55,70.64,19695424,23941169,23979665,21026617,23168340,
08/11/2019,79.75,80.75,79.5,80.25,79.9,79.03,76.91,73.67,70.71,11350101,22960036,21853488,20427412,22882405,
11/11/2019,80,80.25,79.25,80,79.9,79.28,77.18,73.77,70.77,16448887,20019505,21853699,20494411,22787053,
12/11/2019,80.25,80.5,79,79.5,79.95,79.4,77.43,73.87,70.83,16359610,17952278,20518038,20723095,22715322,
13/11/2019,79,79.5,78,78.25,79.6,79.35,77.6,73.95,70.88,21832400,17137284,20741933,21139373,22751438,
14/11/2019,78.25,79.25,78,79,79.4,79.42,77.81,74.05,70.93,16117261,16421652,20181411,21423745,22808638,
15/11/2019,79.25,80,79,80,79.35,79.63,78.03,74.15,70.99,11046919,16361015,19660526,21435821,22780036,
18/11/2019,80,81.5,79.5,80.75,79.5,79.7,78.31,74.27,71.04,27240182,18519274,19269390,22135114,22971694,
19/11/2019,80.5,81.75,80.25,81,79.8,79.88,78.55,74.39,71.11,22468382,19741029,18846653,22070803,23078979,
20/11/2019,80.5,80.75,79.75,80.25,80.2,79.9,78.74,74.52,71.17,17377251,18849999,17993642,22045312,22397256,
21/11/2019,80,80.5,79.25,80,80.4,79.9,78.86,74.66,71.22,14101885,18446924,17434288,20528747,22110389,
22/11/2019,80,80.25,79.5,80.25,80.45,79.9,78.99,74.81,71.28,8921264,18021793,17191404,19798466,21629812,
25/11/2019,80,80.5,79.75,80.5,80.4,79.95,79.12,74.95,71.33,11715816,14916920,16718097,19499049,21405447,
26/11/2019,80.5,80.5,78.25,79.25,80.05,79.92,79.21,75.06,71.39,42824988,18988241,19364635,20810275,21615687,
27/11/2019,78.75,78.75,77.75,78.25,79.65,79.92,79.26,75.18,71.43,29487263,21410243,20130121,21655335,21744255,
28/11/2019,77.5,77.5,75.5,75.5,78.75,79.58,79.16,75.29,71.46,65945861,31779038,25112981,22921389,22010767,
29/11/2019,75,75.5,74.75,75.5,77.8,79.13,79.13,75.38,71.49,47482609,39491307,28756550,23516218,22248203,
02/12/2019,75.5,75.5,74,74.75,76.65,78.53,79.02,75.45,71.51,45005263,46149197,30533058,24658558,22240321,
